title,author,description,news_category,urlToImage,publishedAt,source_id,news_related
"World·Jun 26, 2025·54Ayatollah Proudly Announces Iran Has Destroyed 14 Bunker Buster Bombs With Its Nuclear FacilitiesTEHRAN - Ayatollah Ali Khamenei declared a resounding victory over the United States and Israel after Iran destroyed 14 American bunker buster bombs w...",,,politics,https://media.babylonbee.com/articles/685d6bbd8aa5a685d6bbd8aa5b.jpg,2025-06-26T00:00:00,BabylonBee,1
"U.S.·Jun 26, 2025·104In Historic 6-3 Supreme Court Decision, 3 Justices Ruled To Be MoronsWASHINGTON, D.C. - Ramifications were predicted to be felt for generations after today, as in a historic 6-3 Supreme Court decision, 3 justices were r...",,,politics,https://media.babylonbee.com/articles/685d89168fbf1685d89168fbf2.jpg,2025-06-26T00:00:00,BabylonBee,1
"Family·May 3, 2023·108Parents Who Raised Kids On Disney Movies About Rebelling Against Parents Not Sure Why Kids Are Rebelling Against Their ParentsFOX CHAPEL, PA - Local parents Dave and Stacey Martin, who raised their daughter on Disney movies that glamorized rebelling against parents, are flabb...",,,politics,https://media.babylonbee.com/articles/6452d0c23f6a36452d0c23f6a4.jpg,2023-05-03T00:00:00,BabylonBee,1
"Horrified Satan Distances Self From GrammysEntertainment·Feb 6, 2023·237",,,politics,https://media.babylonbee.com/articles/63e125f220cef63e125f220cf0.jpg,2023-02-06T00:00:00,BabylonBee,1
"Woman Who Lost To Male Boxer Says Everything's Fine, She Just Fell Down Some StairsSports·Aug 2, 2024·98",,,politics,https://media.babylonbee.com/articles/66ad451a8b7df66ad451a8b7e0.jpg,2024-08-02T00:00:00,BabylonBee,1
"Ted Cruz Grows Out Mutton Chops In Preparation For Civil WarU.S.·Jan 25, 2024·169",,,politics,https://media.babylonbee.com/articles/65b29a8ecd84465b29a8ecd845.jpg,2024-01-25T00:00:00,BabylonBee,1
"American Christians Excited To Live Through The Book Of Judges FirsthandChristian Living·Jan 19, 2021·75",,,politics,https://media.babylonbee.com/articles/article-7794-1.jpg,2021-01-19T00:00:00,BabylonBee,1
"9 Foolproof Tips For Getting Into College In 2022Sponsored·Jun 13, 2022·143",,,politics,https://media.babylonbee.com/articles/article-11507-1.jpg,2022-06-13T00:00:00,BabylonBee,1
"Dr. Fauci Says Unvaccinated Kids Can Trick Or Treat But They Only Get Candy CornLife·Oct 11, 2021·115",,,politics,https://media.babylonbee.com/articles/article-9682-1.jpg,2021-10-11T00:00:00,BabylonBee,1
"Premium·Jun 25, 2025·35New Video - What If the Constitution Were Written Today?What if the Constitution as we know it had never been written and had instead been left to modern politicians to draft? Find out all this and more in ...",,,politics,https://media.babylonbee.com/articles/685c54e07f1a2685c54e07f1a3.jpg,2025-06-25T00:00:00,BabylonBee,1
"Premium·Jun 24, 2025·47The Buzz #006: YesYes. It looks like Donald Trump decided to bomb Iran's heavily guarded nuclear sites with bunker buster bombs and then a ceasefire broke out. However,...",,,politics,https://media.babylonbee.com/articles/685b2ec120512685b2ec120513.jpg,2025-06-24T00:00:00,BabylonBee,1
"Premium·Jun 23, 2025·200What Is Your Favorite Translation Of The Bible?Going into the archives, we found this great Babylon Bee article:",,,politics,https://media.babylonbee.com/articles/6859a5675fc7d6859a5675fc7e.jpg,2025-06-23T00:00:00,BabylonBee,1
"Premium·Jun 19, 2025·42New Video - The Buzz #005: Bomb Iran?The Babylon Bee talks about the war breaking out between Israel and Iran, the recent No Kings protests, and how Mother Teresa was maybe a jerk.",,,politics,https://media.babylonbee.com/articles/68547ac3daaa168547ac3daaa3.jpg,2025-06-19T00:00:00,BabylonBee,1
"Pelosi Preemptively Announces Articles Of Impeachment Against Candace OwensPolitics·Feb 10, 2021·106",,,politics,https://media.babylonbee.com/articles/article-7965-1.jpg,2021-02-10T00:00:00,BabylonBee,1
"Least Masculine Society In Human History Decides Masculinity Is A Growing ThreatWorldviews·Jan 17, 2019·53",,,politics,https://media.babylonbee.com/articles/article-3594-1.jpg,2019-01-17T00:00:00,BabylonBee,1
"Teachers Urge Government To Reopen Schools Before Students Learn To Think For ThemselvesWorldviews·Mar 31, 2020·28",,,politics,https://media.babylonbee.com/articles/article-5871-1.jpg,2020-03-31T00:00:00,BabylonBee,1
"Bill Clinton: 'Allegations Of Sexual Misconduct Should Disqualify A Man From Public Office'Politics·Sep 25, 2018·13",,,politics,https://media.babylonbee.com/articles/article-3076.jpg,2018-09-25T00:00:00,BabylonBee,1
"Biden: 'I Am The Only Candidate Who Can Beat Ronald Reagan'Politics·Mar 2, 2020·20",,,politics,https://media.babylonbee.com/articles/article-5693-1.jpg,2020-03-02T00:00:00,BabylonBee,1
"Warren Returns To Tribe In Shame After Failing To Take Land Back From The Pale FacesPolitics·Mar 5, 2020·20",,,politics,https://media.babylonbee.com/articles/article-5691-2.jpg,2020-03-05T00:00:00,BabylonBee,1
