title,author,description,news_category,urlToImage,publishedAt,source_id,news_related,reliability_score,reliability_label
"Entertainment·Jun 27, 2025·148Who Should Be The Next James Bond?Denis Villeneuve, director of the Dune films, has been tapped to helm the next film in the long-running James Bond film series. But who will play Ian ...",,,politics,https://media.babylonbee.com/articles/685ef0855e2af685ef0855e2b0.jpg,2025-06-27T00:00:00,BabylonBee,1,46,Low Reliability
"U.S.·Jun 27, 2025·82In Powerful Dissent, Ketanji Brown Jackson Simply Writes 'Wakanda Forever'WASHINGTON, D.C. - Following the U.S. Supreme Court's latest ruling in favor of President Trump, Justice Ketanji Brown Jackson penned a scathing rebuk...",,,politics,https://media.babylonbee.com/articles/685ed3145d893685ed3145d894.jpg,2025-06-27T00:00:00,BabylonBee,1,46,Low Reliability
"Politics·Jun 26, 2025·90Democrats Discover Innovative Strategy Of Promising Free Stuff To Stupid PeopleNEW YORK, NY - Democratic Party strategists were thrilled this week after they stumbled upon an innovative new strategy of winning elections by promis...",,,politics,https://media.babylonbee.com/articles/685d75fbd4d94685d75fbd4d95.jpg,2025-06-26T00:00:00,BabylonBee,1,46,Low Reliability
"Sponsored·Jun 25, 2025·1159 Hardest Parts Of Pregnancy For HusbandsEveryone loves to talk about how difficult pregnancy is for women, but the truth is that pregnancy requires incredible sacrifices from husbands too!",,,politics,https://media.babylonbee.com/articles/685c2fb1cc5a0685c2fb1cc5a1.jpg,2025-06-25T00:00:00,BabylonBee,1,46,Low Reliability
"World·Jun 26, 2025·54Ayatollah Proudly Announces Iran Has Destroyed 14 Bunker Buster Bombs With Its Nuclear FacilitiesTEHRAN - Ayatollah Ali Khamenei declared a resounding victory over the United States and Israel after Iran destroyed 14 American bunker buster bombs w...",,,politics,https://media.babylonbee.com/articles/685d6bbd8aa5a685d6bbd8aa5b.jpg,2025-06-26T00:00:00,BabylonBee,1,46,Low Reliability
"U.S.·Jun 26, 2025·104In Historic 6-3 Supreme Court Decision, 3 Justices Ruled To Be MoronsWASHINGTON, D.C. - Ramifications were predicted to be felt for generations after today, as in a historic 6-3 Supreme Court decision, 3 justices were r...",,,politics,https://media.babylonbee.com/articles/685d89168fbf1685d89168fbf2.jpg,2025-06-26T00:00:00,BabylonBee,1,46,Low Reliability
"Church·Feb 20, 2019·8Church Ushers Roam Aisles Asking If Anyone Needs A PillowORANGE, CA - Ushers at Delta Community Church were seen Sunday morning roaming the aisles asking if anyone needed a pillow, beverage, snack, or pair o...",,,politics,https://media.babylonbee.com/articles/article-3751-2.jpg,2019-02-20T00:00:00,BabylonBee,1,31,Low Reliability
"Weather Channel Invites Biden For Interview After Hearing How Much He Loves To Discuss The WeatherPolitics·Aug 8, 2023·121",,,politics,https://media.babylonbee.com/articles/64d26ac7d776f64d26ac7d7770.jpg,2023-08-08T00:00:00,BabylonBee,1,31,Low Reliability
"Tesla Cybertruck Confirmed For Next Star Fox GameEntertainment·Nov 22, 2019·6",,,politics,https://media.babylonbee.com/articles/article-5188-1.jpg,2019-11-22T00:00:00,BabylonBee,1,31,Low Reliability
"DOJ Announces Plan To Get Trump Elected In 2024Politics·Mar 18, 2023·177",,,politics,https://media.babylonbee.com/articles/64160d513bd7e64160d513bd7f.jpg,2023-03-18T00:00:00,BabylonBee,1,31,Low Reliability
"Duck Killin' And Gospel Preachin': The Phil Robertson InterviewThe Babylon Bee·May 8, 2020·22",,,politics,https://media.babylonbee.com/articles/article-6132-1.jpg,2020-05-08T00:00:00,BabylonBee,1,31,Low Reliability
"White House Installs Touch And Learn Activity Desk In Oval Office So Biden Can Feel Like He's Working While Jill Is Running The CountryPolitics·Jul 3, 2024·87",,,politics,https://media.babylonbee.com/articles/66858351bb30c66858351bb30d.jpg,2024-07-03T00:00:00,BabylonBee,1,31,Low Reliability
"Dumb Football Game Keeps Interrupting CommercialsSports·Feb 3, 2019·9",,,politics,https://media.babylonbee.com/articles/article-3660-2.jpg,2019-02-03T00:00:00,BabylonBee,1,31,Low Reliability
"Premium·Jun 25, 2025·35New Video - What If the Constitution Were Written Today?What if the Constitution as we know it had never been written and had instead been left to modern politicians to draft? Find out all this and more in ...",,,politics,https://media.babylonbee.com/articles/685c54e07f1a2685c54e07f1a3.jpg,2025-06-25T00:00:00,BabylonBee,1,46,Low Reliability
"Premium·Jun 24, 2025·47The Buzz #006: YesYes. It looks like Donald Trump decided to bomb Iran's heavily guarded nuclear sites with bunker buster bombs and then a ceasefire broke out. However,...",,,politics,https://media.babylonbee.com/articles/685b2ec120512685b2ec120513.jpg,2025-06-24T00:00:00,BabylonBee,1,46,Low Reliability
"Premium·Jun 23, 2025·200What Is Your Favorite Translation Of The Bible?Going into the archives, we found this great Babylon Bee article:",,,politics,https://media.babylonbee.com/articles/6859a5675fc7d6859a5675fc7e.jpg,2025-06-23T00:00:00,BabylonBee,1,46,Low Reliability
"Premium·Jun 19, 2025·42New Video - The Buzz #005: Bomb Iran?The Babylon Bee talks about the war breaking out between Israel and Iran, the recent No Kings protests, and how Mother Teresa was maybe a jerk.",,,politics,https://media.babylonbee.com/articles/68547ac3daaa168547ac3daaa3.jpg,2025-06-19T00:00:00,BabylonBee,1,41,Low Reliability
"Brilliant Trump Puts Himself On All Postage Stamps, Forcing Democrats To Push For Abolishing USPSPolitics·Aug 17, 2020·113",,,politics,https://media.babylonbee.com/articles/article-6821-2.jpg,2020-08-17T00:00:00,BabylonBee,1,31,Low Reliability
"Government Accidentally Shuts Itself Down With Ban On Non-Essential BusinessesPolitics·Mar 26, 2020·28",,,politics,https://media.babylonbee.com/articles/article-5837-1.jpg,2020-03-26T00:00:00,BabylonBee,1,31,Low Reliability
"Celebrities Show Solidarity With Protesters By Burning Their Own Homes To The GroundCelebs·Jun 5, 2020·70",,,politics,https://media.babylonbee.com/articles/article-6296-2.jpg,2020-06-05T00:00:00,BabylonBee,1,31,Low Reliability
"Wife Unaware That Movie Will Answer All Her Questions If She Just Pays AttentionLife·Aug 19, 2019·21",,,politics,https://media.babylonbee.com/articles/article-4685-1.jpg,2019-08-19T00:00:00,BabylonBee,1,31,Low Reliability
"Chick-Fil-A Temporarily Changes Slogan To 'Eat Fewer Bats'Health·Mar 27, 2020·20",,,politics,https://media.babylonbee.com/articles/article-5860-1.jpg,2020-03-27T00:00:00,BabylonBee,1,31,Low Reliability
"Georgia Lawmaker Claims Chick-Fil-A Employee Told Her To Go Back To Her Country, Later Clarifies He Actually Said 'My Pleasure'Christian Living·Jul 22, 2019·22",,,politics,https://media.babylonbee.com/articles/article-4547-1.jpg,2019-07-22T00:00:00,BabylonBee,1,31,Low Reliability
