title,author,description,news_category,urlToImage,publishedAt,source_id,news_related
Cobra Kai Actor Accused Of Biting Co-Star,,,politics,https://theonion.com/wp-content/uploads/2025/05/AmericanVoice_OG_FINAL_2.jpg?w=1024,,TheOnion,1
Man Gets Stuck In Chimney While Trying To Rescue Dog Trapped In Building,,,politics,https://theonion.com/wp-content/uploads/2025/02/AmericanVoice_OG_FINAL.jpg?w=1024,,TheOnion,1
Shroom for Improvement,,,politics,https://theonion.com/wp-content/uploads/2025/06/KellyShroomForImprovement.jpg?w=1024,,TheOnion,1
Feud Poisoning,,,politics,https://theonion.com/wp-content/uploads/2025/06/KellyFeudPoisoning.jpg?w=1024,,TheOnion,1
Gingham Style,,,politics,https://theonion.com/wp-content/uploads/2025/06/KellyGinghamStyle.jpg?w=1024,,TheOnion,1
The Needled and the Damaged Son,,,politics,https://theonion.com/wp-content/uploads/2025/06/KellyTheNeedledAndTheDamagedSon.jpg?w=1024,,TheOnion,1
Guise And Dolls,,,politics,https://theonion.com/wp-content/uploads/2025/05/KellyGuiseAndDolls.jpg?w=1024,,TheOnion,1
Closeted Pride Parade Takes Place In Garage,,,politics,https://theonion.com/wp-content/uploads/2025/06/Closeted_Pride-SB-IHA-GR.jpg?w=1024,,TheOnion,1
Driving Surges In Popularity Thanks To ‘F1’ Film,,,politics,https://theonion.com/wp-content/uploads/2025/06/Driving_Surges-NIB-PH.jpg?w=1024,,TheOnion,1
Zohran Mamdani: Some New Yorkers Say They Can Imagine Him With A Big Cape And Devil Horns,,,politics,https://theonion.com/wp-content/uploads/2025/06/MAG_Zohran_Mamdani-IHA-GR.jpg?w=1024,,TheOnion,1
